host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,longitude,latitude,price,host_is_superhost,instant_bookable
1,Gamle Oslo,Entire townhouse,Entire home/apt,5,3,5,4,5,5,5,5,5,5,5,5,10.78404,59.90201,1300.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,3,1,1,2,5,4,5,5,4,5,5,5,10.8056,59.90993,1500.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,4,38,4.85,4.85,4.61,4.94,4.88,4.91,4.79,10.724,59.92237,800.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,3,1,2,5,14,4.79,4.86,4.57,4.86,5,4.86,4.86,10.77553,59.94046,664.00,false,false
2,St. Hanshaugen,Entire rental unit,Entire home/apt,4,1,1,2,19,4.88,4.67,4.93,4.87,5,4.88,4.75,10.741949,59.919624,1000.00,false,false
0,Frogner,Entire rental unit,Entire home/apt,3,1,1,1,43,4.9,4.9,4.83,4.93,4.93,4.95,4.79,10.71281,59.91679,1149.00,true,false
2,Gamle Oslo,Private room in rental unit,Private room,1,1,1,2,66,4.86,4.89,4.92,4.97,4.97,4.89,4.86,10.77339,59.9123,485.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,5,2,2,7,3,5,5,5,5,5,4.67,5,10.74765,59.93255,1100.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,1,18,4.76,4.76,4.47,4.88,4.94,4.82,4.82,10.74441,59.92059,500.00,false,false
1,Nordre Aker,Entire rental unit,Entire home/apt,2,1,2,30,7,4.71,5,4.43,5,4.86,4.57,4.14,10.71645,59.9563,600.00,false,false
15,Sentrum,Private room in rental unit,Private room,3,1,2,3,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.74744,59.91027,1571.00,false,false
0,Nordstrand,Entire residential home,Entire home/apt,4,1,4,2,8,5,5,5,5,5,5,5,10.78682,59.85014,690.00,false,false
2,Vestre Aker,Entire rental unit,Entire home/apt,4,1,1,1,115,4.87,4.88,4.97,4.93,4.96,4.84,4.82,10.65116,59.97333,800.00,true,false
1,Grünerløkka,Entire rental unit,Entire home/apt,5,2,2,5,7,4.86,4.71,4.43,4.57,5,5,4.71,10.788,59.92386,700.00,false,false
2,Frogner,Private room in rental unit,Private room,2,1,1,30,20,4.75,4.85,4.2,5,5,4.89,4.84,10.7229,59.92926,500.00,false,true
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,21,1,4,4,5,5,5,4,5,10.77367,59.92278,800.00,false,false
3,Frogner,Private room in rental unit,Private room,3,1,1,30,208,4.83,4.92,4.54,4.96,4.97,4.89,4.85,10.72478,59.92732,454.00,true,true
1,Frogner,Private room in condominium (condo),Private room,2,1,1,1,31,4.77,4.94,5,4.65,5,4.94,4.74,10.71798,59.91995,750.00,false,false
2,Nordstrand,Entire residential home,Entire home/apt,3,1,2,2,174,4.76,4.87,4.86,4.92,4.95,4.77,4.79,10.75822,59.86452,698.00,true,true
1,Nordstrand,Private room in rental unit,Private room,1,1,1,2,3,5,5,4.67,5,5,5,4.67,10.81474,59.86607,500.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,4,2,1,3,7,4.86,5,5,5,4.86,5,4.71,10.76374,59.94517,850.00,false,false
1,Gamle Oslo,Entire townhouse,Entire home/apt,6,4,6,3,11,4.8,4.9,4.6,4.8,4.8,4.8,4.9,10.77805,59.90277,1350.00,false,false
1,Sagene,Entire condominium (condo),Entire home/apt,4,2,2,4,64,4.73,4.81,4.92,4.9,4.94,4.7,4.79,10.75073,59.93646,989.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,5,2,3,2,10,5,5,4.63,4.88,4.88,4.63,4.88,10.73388,59.93106,1300.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,2,4,5,5,5,5,5,5,5,10.75181,59.92097,2000.00,false,false
0,Sagene,Entire residential home,Entire home/apt,3,2,2,6,3,5,5,4.67,5,5,5,5,10.755855,59.935963,1300.00,false,false
1,St. Hanshaugen,Private room in rental unit,Private room,4,2,2,1,9,5,5,5,5,5,5,5,10.74275,59.91944,980.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,7,18,4.72,4.89,4.83,4.67,4.83,4.94,4.78,10.6906,59.91913,650.00,false,false
1,Ullern,Entire rental unit,Entire home/apt,3,2,2,5,6,5,5,5,5,4.75,4.75,4.5,10.67872,59.92189,1890.00,false,false
2,Sentrum,Entire rental unit,Entire home/apt,2,1,1,2,206,4.77,4.89,4.8,4.79,4.92,4.98,4.81,10.74451,59.9113,1143.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,3,1,1,28,88,4.66,4.81,4.66,4.88,4.91,4.75,4.74,10.76465,59.91133,900.00,false,false
0,Grünerløkka,Entire rental unit,Entire home/apt,5,2,3,2,41,4.93,4.95,4.95,5,4.98,4.73,4.95,10.78666,59.93174,556.00,true,false
1,Grünerløkka,Private room in loft,Private room,2,2,1,1,152,4.79,4.88,4.89,4.91,4.93,4.91,4.74,10.75575,59.92777,500.00,true,true
1,St. Hanshaugen,Entire rental unit,Entire home/apt,4,2,3,4,8,4.83,5,5,5,5,4.8,5,10.74041,59.93476,1454.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,4,2,2,2,20,4.8,4.8,4.85,4.9,4.9,4.75,4.75,10.77502,59.941,1050.00,false,false
2,St. Hanshaugen,Private room in rental unit,Private room,2,1,2,1,1,5,5,5,5,5,5,5,10.74908,59.93182,650.00,false,false
0,Østensjø,Entire rental unit,Entire home/apt,3,1,2,2,9,4.78,4.67,4.89,5,4.89,4.67,4.67,10.84556,59.89891,690.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,4,2,3,4,4,4.67,5,4.33,5,5,5,5,10.73493,59.92505,1015.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,1,1,1,5,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,10.76924,59.90611,301.00,false,false
3,Gamle Oslo,Entire condominium (condo),Entire home/apt,3,2,2,2,18,4.69,4.94,4.69,4.75,5,4.69,4.75,10.77762,59.91299,1700.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,5,3,3,2,366,4.93,4.93,4.98,4.96,4.98,4.87,4.85,10.76122,59.92108,1673.00,true,true
1,Grünerløkka,Private room in rental unit,Private room,1,1,1,3,42,4.95,4.95,4.98,4.98,5,4.66,4.83,10.76799,59.93011,460.00,true,false
1,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,276,4.45,4.61,4.41,4.77,4.83,4.79,4.39,10.75933,59.92173,421.00,false,true
2,Sagene,Entire loft,Entire home/apt,2,1,1,28,15,4.93,5,4.87,4.87,4.93,4.73,4.8,10.7513,59.93485,708.00,true,false
2,Østensjø,Private room in rental unit,Private room,1,1,1,2,127,4.81,4.83,4.87,4.88,4.89,4.74,4.81,10.84719,59.88261,420.00,true,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,2,1,3,9,5,5,5,5,5,4.89,4.78,10.76831,59.92639,810.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,6,3,2,4,16,4.88,4.94,4.81,4.88,4.81,4.81,4.88,10.77285,59.92636,950.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,2,2,2,7,4.71,4.67,5,4.83,5,4.67,4.67,10.75597,59.91707,800.00,false,false
2,Sentrum,Entire condominium (condo),Entire home/apt,4,1,2,6,119,4.97,4.97,4.96,4.95,4.96,4.99,4.92,10.73937,59.91102,1036.00,true,false
2,Grünerløkka,Entire rental unit,Entire home/apt,3,1,2,2,22,4.5,4.64,4.82,4.59,4.73,4.73,4.45,10.77176,59.91622,980.00,false,false
1,Nordstrand,Entire residential home,Entire home/apt,6,3,6,5,1,5,5,5,5,5,5,5,10.79459,59.89552,1500.00,false,false
2,Gamle Oslo,Private room in rental unit,Private room,1,1,2,2,21,4.82,4.94,4.88,4.81,5,4.75,4.94,10.77033,59.91429,521.00,false,false
2,Ullern,Entire residential home,Entire home/apt,6,3,3,5,3,5,5,4.67,5,5,5,5,10.67245,59.93555,1500.00,false,false
1,Grünerløkka,Entire condominium (condo),Entire home/apt,4,1,1,1,57,4.39,4.31,4.35,4.36,4.27,4.76,4.4,10.76386,59.9234,1643.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,3,2,5,5,5,5,5,5,5,10.72156,59.92324,900.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,2,45,4.75,4.72,4.56,4.72,4.9,4.9,4.85,10.75955,59.93215,800.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,4,1,3,1,556,4.8,4.9,4.88,4.93,4.93,4.67,4.79,10.77449,59.90809,550.00,true,false
1,Grünerløkka,Private room in loft,Private room,2,1,1,4,37,4.97,4.97,4.91,4.97,5,4.89,4.86,10.77038,59.91551,355.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,3,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.72408,59.92873,1813.00,false,false
1,Sentrum,Entire rental unit,Entire home/apt,2,1,1,3,319,4.92,4.98,4.95,4.96,4.97,4.97,4.86,10.74521,59.90992,1000.00,false,true
1,Grünerløkka,Private room in rental unit,Private room,1,1,1,4,127,4.8,4.86,4.93,4.87,4.92,4.79,4.79,10.76172,59.91971,321.00,false,false
1,Vestre Aker,Entire rental unit,Entire home/apt,3,2,2,3,3,5,4,4.67,4.67,5,5,5,10.66422,59.96083,2000.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,5,2,2,2,70,4.86,4.97,4.8,4.91,4.97,4.83,4.86,10.75343,59.91631,1486.00,false,true
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,5,3,4.5,4.5,4,4.5,4.5,4.5,4.5,10.69206,59.91897,600.00,false,false
1,Grünerløkka,Entire condominium (condo),Entire home/apt,2,1,1,1,25,4.72,4.72,4.48,4.8,5,4.84,4.84,10.7654,59.92109,700.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,3,65,5,4.98,4.89,4.91,4.98,4.89,4.94,10.77723,59.9115,600.00,true,false
1,Grorud,Private room in rental unit,Private room,2,1,1,7,1,0,4.93,4.84,4.96,5,4.91,4.83,10.87008,59.94968,400.00,false,false
2,St. Hanshaugen,Entire condominium (condo),Entire home/apt,4,1,2,3,6,5,4.83,4.83,5,5,4.83,4.67,10.73193,59.93314,900.00,false,false
2,Gamle Oslo,Entire condominium (condo),Entire home/apt,2,1,4,3,4,5,5,5,5,5,5,5,10.77456,59.91419,829.00,false,false
1,Østensjø,Entire rental unit,Entire home/apt,5,1,2,3,16,4.93,4.93,4.73,5,5,4.87,4.8,10.83628,59.86919,1114.00,false,true
0,Frogner,Entire rental unit,Entire home/apt,2,1,1,20,34,4.76,4.79,4.76,4.97,4.97,5,4.67,10.72892,59.92288,660.00,true,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,2,26,4.92,4.96,4.96,4.84,4.92,4.8,4.96,10.76627,59.91295,1146.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,2,1,11,4.9,4.9,4.8,4.9,4.9,4.9,4.9,10.77426,59.90814,500.00,false,false
3,Frogner,Private room in residential home,Private room,4,2,3,1,7,4.2,4.4,3.8,3.8,3.8,4.8,4.2,10.70001,59.90463,1500.00,false,false
1,Grünerløkka,Entire residential home,Entire home/apt,7,4,3,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.78541,59.91902,1478.00,false,false
3,Frogner,Private room in residential home,Private room,6,2,3,2,1,0,4.93,4.84,4.96,5,4.91,4.83,10.7004,59.905,2000.00,false,false
1,Ullern,Private room in rental unit,Private room,2,1,1,30,9,5,5,5,5,5,4.89,5,10.65986,59.93695,350.00,true,false
1,Østensjø,Entire residential home,Entire home/apt,8,5,4,5,2,5,5,4.5,5,5,5,5,10.84634,59.89362,1500.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,3,38,4.85,4.82,4.65,4.97,4.94,4.88,4.82,10.73724,59.92383,764.00,false,false
3,Frogner,Entire rental unit,Entire home/apt,2,1,1,7,11,5,5,4.7,5,5,5,4.78,10.67865,59.92025,1000.00,false,false
2,Sagene,Entire condominium (condo),Entire home/apt,2,1,2,2,51,4.8,4.74,4.7,4.82,4.82,4.92,4.8,10.76039,59.93256,569.00,true,false
1,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,235,4.59,4.71,4.7,4.67,4.82,4.81,4.72,10.75882,59.91409,531.00,false,false
1,Vestre Aker,Entire condominium (condo),Entire home/apt,4,3,3,5,1,5,5,5,5,5,5,5,10.65673,59.95744,2000.00,false,false
3,St. Hanshaugen,Entire rental unit,Entire home/apt,3,1,2,3,5,5,5,5,5,5,4.67,5,10.73044,59.93645,520.00,false,false
1,Frogner,Private room in residential home,Private room,1,1,1,5,49,4.92,4.96,4.98,4.91,4.98,4.89,4.85,10.696,59.91814,599.00,false,false
1,Nordstrand,Entire rental unit,Entire home/apt,2,1,1,6,37,5,5,4.97,5,5,4.91,4.94,10.77848,59.89954,800.00,false,true
1,Ullern,Entire rental unit,Entire home/apt,4,1,2,2,90,4.94,4.98,4.93,4.99,4.99,4.82,4.9,10.6713,59.93013,1029.00,true,false
3,Grünerløkka,Entire rental unit,Entire home/apt,3,1,3,30,11,4.82,4.91,4.91,5,5,4.82,4.91,10.77221,59.92479,500.00,true,false
1,Ullern,Private room in rental unit,Private room,1,1,1,1,103,4.62,4.75,4.71,4.87,4.87,4.91,4.7,10.67888,59.92359,557.00,false,false
1,Østensjø,Entire rental unit,Entire home/apt,5,1,3,2,40,4.9,4.98,4.93,4.98,4.95,4.78,4.9,10.81509,59.90537,1286.00,false,true
2,Grünerløkka,Private room in rental unit,Private room,3,1,1,2,25,4.88,4.84,4.88,4.84,4.88,4.92,4.96,10.77437,59.92033,500.00,false,true
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,2,29,4.97,4.93,4.93,4.97,4.93,4.79,4.93,10.77917,59.91488,520.00,false,false
1,Ullern,Entire rental unit,Entire home/apt,4,2,2,6,15,4.67,4.87,4.6,4.93,5,4.8,4.8,10.63676,59.93777,950.00,false,false
1,Frogner,Private room in rental unit,Private room,2,1,1,1,11,5,5,4.91,4.9,4.9,5,4.9,10.70922,59.91247,600.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,5,1,1,1,35,4.41,4.44,4.38,4.56,4.74,4.82,4.56,10.75348,59.92698,1000.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,14,4.91,5,4.82,5,5,4.91,4.91,10.76534,59.92391,800.00,false,true
1,Nordstrand,Entire residential home,Entire home/apt,6,3,3,2,35,4.97,4.94,4.91,4.88,5,4.91,4.76,10.7827,59.87132,1393.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,6,2,4,5,5,5,5,5,5,5,5,5,10.70955,59.92192,1950.00,false,false
1,Gamle Oslo,Private room in condominium (condo),Private room,2,1,2,2,14,4.69,4.77,4.62,4.92,4.92,4.77,4.69,10.76713,59.91243,397.00,false,false
0,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.74919,59.92734,1000.00,false,false
0,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,2,5,4.8,5,5,4.8,5,5,4.8,10.7588,59.92399,1300.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,2,2,46,4.8,4.82,4.86,4.89,4.86,4.86,4.8,10.75574,59.91708,621.00,false,false
1,Vestre Aker,Entire rental unit,Entire home/apt,2,1,1,7,18,4.89,4.83,4.89,4.89,4.83,4.89,4.72,10.65954,59.96823,1153.00,false,false
1,Grünerløkka,Entire townhouse,Entire home/apt,7,3,4,4,7,4.57,5,5,4.71,5,4.71,4.71,10.77995,59.92095,980.00,false,false
1,Ullern,Entire rental unit,Entire home/apt,4,1,1,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.63982,59.92409,650.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,2,4,58,4.74,4.77,4.67,4.84,4.91,4.81,4.81,10.75181,59.91983,757.00,false,false
1,Grünerløkka,Entire condominium (condo),Entire home/apt,6,3,3,4,39,4.82,4.9,4.87,4.87,4.95,4.92,4.76,10.76099,59.91968,1307.00,false,false
1,Vestre Aker,Entire rental unit,Entire home/apt,5,2,3,3,46,4.93,5,4.96,4.98,5,4.79,4.88,10.68809,59.94357,720.00,true,false
1,Gamle Oslo,Private room in rental unit,Private room,2,2,1,14,36,4.92,4.94,4.86,4.97,4.97,4.83,4.86,10.77104,59.90754,650.00,false,false
1,Nordre Aker,Entire rental unit,Entire home/apt,1,1,1,2,250,4.92,4.96,4.9,4.97,4.97,4.73,4.94,10.74854,59.94824,450.00,true,false
20,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,2,64,4.89,4.91,4.84,4.88,4.97,4.89,4.71,10.75898,59.90804,1900.00,false,false
2,Sagene,Entire rental unit,Entire home/apt,2,1,2,5,75,4.67,4.85,4.64,4.91,4.96,4.8,4.75,10.7656,59.93304,484.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,3,13,4.77,4.77,4.92,5,5,4.92,4.77,10.72942,59.92131,919.00,false,false
2,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,5,23,4.62,4.86,4.38,4.62,4.86,4.62,4.71,10.7761,59.91169,664.00,false,false
2,St. Hanshaugen,Entire rental unit,Entire home/apt,4,2,2,5,115,4.94,4.96,4.89,4.98,4.98,4.87,4.88,10.72849,59.93257,1736.00,true,false
3,Frogner,Entire rental unit,Entire home/apt,4,2,2,2,153,4.94,4.97,4.96,4.89,4.97,4.98,4.81,10.71922,59.9285,1200.00,true,false
5,Frogner,Entire condominium (condo),Entire home/apt,4,1,2,5,2,5,5,5,5,5,5,5,10.70951,59.92508,1090.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,1,1,1,1,12,5,5,5,5,4.83,5,5,10.7776,59.91509,700.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,2,1,1,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.78064,59.91087,652.00,false,false
1,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,125,4.88,4.89,4.93,4.84,4.93,4.83,4.87,10.76812,59.92296,1500.00,false,false
1,St. Hanshaugen,Private room in condominium (condo),Private room,4,2,2,3,73,4.92,4.94,4.95,4.99,4.97,4.87,4.84,10.74492,59.92694,1195.00,true,false
1,Nordre Aker,Private room in rental unit,Private room,1,1,1,1,51,4.88,4.88,4.96,4.98,4.94,4.88,4.88,10.73517,59.96281,499.00,false,false
1,Ullern,Private room in rental unit,Private room,1,1,1,2,6,4.6,4.4,4.8,4.6,5,4.4,4.8,10.65588,59.93262,653.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,3,1,3,4,83,4.96,4.95,4.95,4.99,4.99,4.93,4.94,10.7147,59.92466,700.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,7,20,4.84,5,4.95,4.84,4.95,4.95,4.95,10.74066,59.91956,1143.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,1,2,3,249,4.76,4.87,4.59,4.93,4.93,4.91,4.79,10.7701,59.92503,714.00,false,true
1,Nordre Aker,Entire rental unit,Entire home/apt,4,1,4,2,127,4.76,4.91,4.91,4.96,4.97,4.78,4.78,10.75054,59.96188,549.00,true,false
1,Sagene,Entire condominium (condo),Entire home/apt,5,3,3,30,35,4.71,4.89,4.77,4.94,4.91,4.74,4.66,10.76364,59.93338,1000.00,false,false
1,Sentrum,Entire rental unit,Entire home/apt,2,1,1,3,150,4.85,4.95,4.85,4.99,4.97,5,4.85,10.73771,59.91111,1200.00,false,false
2,Nordre Aker,Entire residential home,Entire home/apt,4,1,1,1,2,4.5,5,5,5,5,5,4,10.73827,59.95318,550.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,1,1,4,20,4.76,4.88,4.71,4.94,5,4.71,4.82,10.79455,59.91119,750.00,false,false
1,Grünerløkka,Entire condominium (condo),Entire home/apt,6,2,4,3,31,4.87,4.87,4.74,4.87,5,4.94,4.84,10.75555,59.92442,2000.00,true,false
2,Alna,Entire rental unit,Entire home/apt,2,1,1,5,28,4.58,4.73,5,4.85,4.65,4.52,4.69,10.84586,59.91526,700.00,false,false
3,Sentrum,Entire rental unit,Entire home/apt,2,1,1,30,1,5,5,5,5,5,5,5,10.72569,59.91879,700.00,false,false
6,Grünerløkka,Shared room in loft,Shared room,2,1,1,1,2,5,5,5,5,5,5,5,10.76289,59.91914,700.00,true,false
2,Gamle Oslo,Private room in rental unit,Private room,2,1,1,3,38,4.76,4.81,4.43,4.89,4.89,4.73,4.78,10.79036,59.90366,420.00,false,false
2,St. Hanshaugen,Entire rental unit,Entire home/apt,4,1,2,1,196,4.71,4.86,4.51,4.85,4.91,4.89,4.67,10.74403,59.91782,1300.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,4,2,2,4,12,4.58,4.92,4.33,4.83,4.92,5,4.67,10.74039,59.92058,1400.00,false,false
1,Sagene,Entire condominium (condo),Entire home/apt,8,3,5,3,8,4.75,4.88,5,5,5,5,5,10.77289,59.93603,930.00,false,true
2,Gamle Oslo,Private room in rental unit,Private room,2,1,2,1,6,5,5,4.67,5,5,5,5,10.76951,59.90666,480.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,2,47,4.67,4.85,4.43,4.91,4.87,4.89,4.72,10.75435,59.93517,480.00,false,false
2,Frogner,Private room in rental unit,Private room,2,1,1,1,309,4.95,4.97,4.92,4.98,4.97,4.96,4.94,10.71555,59.93111,279.00,true,true
1,Alna,Entire condominium (condo),Entire home/apt,4,1,2,5,17,4.81,4.81,5,4.88,5,4.38,4.81,10.85877,59.92033,477.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,5,2,2,6,3,4.5,4.5,4.5,5,5,5,5,10.76099,59.92077,735.00,false,false
1,Vestre Aker,Entire residential home,Entire home/apt,3,2,1,4,3,5,5,5,5,5,4.67,5,10.69399,59.94058,1200.00,false,true
1,Grünerløkka,Entire rental unit,Entire home/apt,4,2,2,2,13,4.83,4.92,4.83,5,5,4.83,4.75,10.75849,59.92528,990.00,false,false
1,Ullern,Private room in rental unit,Private room,1,1,1,2,30,4.7,4.9,4.73,4.9,4.97,4.77,4.67,10.68676,59.92725,398.00,false,false
3,Ullern,Private room in villa,Private room,6,3,3,1,13,4.92,5,5,5,5,4.85,4.92,10.63742,59.92919,1200.00,true,false
2,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,1,12,4.8,5,4.9,4.7,4.5,4.9,4.9,10.74878,59.92941,921.00,false,false
2,St. Hanshaugen,Private room in rental unit,Private room,2,1,1,1,13,4.73,4.91,4.91,5,5,4.91,4.64,10.74717,59.92973,679.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,5,23,4.96,4.96,4.78,5,5,5,4.91,10.76103,59.91898,706.00,false,false
1,Nordstrand,Entire rental unit,Entire home/apt,3,1,1,2,34,4.81,4.81,4.88,4.9,4.84,4.81,4.77,10.77494,59.89779,900.00,false,true
1,Frogner,Entire rental unit,Entire home/apt,4,1,2,2,272,4.86,4.91,4.84,4.88,4.98,4.93,4.81,10.72334,59.92523,1214.00,true,true
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,7,3,5,5,4.67,5,5,5,5,10.76874,59.93634,1200.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,63,4.59,4.9,4.78,4.83,4.95,4.92,4.62,10.75792,59.92488,970.00,false,false
1,Vestre Aker,Private room in residential home,Private room,2,1,1,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.66052,59.95846,800.00,false,true
2,Bjerke,Private room in townhouse,Private room,1,1,1,6,7,5,4.86,5,5,5,4.86,5,10.8094,59.94158,390.00,false,false
2,Frogner,Entire rental unit,Entire home/apt,4,2,2,10,23,4.77,4.81,4.67,4.86,4.91,4.9,4.76,10.71589,59.92709,950.00,false,false
2,Gamle Oslo,Entire condominium (condo),Entire home/apt,3,1,2,2,39,4.92,4.84,4.76,4.86,4.95,4.61,4.8,10.80826,59.90819,1129.00,false,false
2,Sagene,Entire rental unit,Entire home/apt,4,2,2,1,16,4.63,4.6,4.88,4.87,4.87,4.6,4.6,10.75779,59.93961,1200.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,3,14,4.85,4.92,4.83,4.82,4.91,5,4.73,10.76288,59.92069,920.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,1,1,2,259,4.65,4.72,4.72,4.73,4.82,4.74,4.59,10.75951,59.91202,1247.00,false,false
2,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,2,4,4.33,4.67,4.67,4.67,5,5,4.33,10.77037,59.92603,600.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,1,1,3,8,4.67,5,4.33,5,5,5,5,10.76332,59.91958,836.00,false,false
2,Sagene,Private room in rental unit,Private room,2,1,1,1,3,4.5,5,5,5,5,4,5,10.75752,59.9393,500.00,false,false
3,Grünerløkka,Entire rental unit,Entire home/apt,3,1,2,30,14,4.92,4.92,4.85,5,4.92,4.62,4.85,10.78329,59.93274,708.00,false,false
3,Grünerløkka,Entire rental unit,Entire home/apt,3,1,2,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.75766,59.9267,564.00,false,false
1,St. Hanshaugen,Entire loft,Entire home/apt,7,3,3,3,17,4.19,4.25,4.13,4.19,4.56,4.56,4.31,10.74354,59.92422,1750.00,false,false
2,Frogner,Entire rental unit,Entire home/apt,3,3,3,30,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.68987,59.92086,700.00,false,false
2,Frogner,Private room in rental unit,Private room,2,1,1,1,66,4.98,5,4.97,5,5,5,4.98,10.72134,59.93005,680.00,true,false
2,Alna,Private room in residential home,Private room,2,1,1,1,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.8266,59.91169,1100.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,2,2,8,4.88,4.88,4.75,5,4.88,4.75,4.88,10.76766,59.9092,1850.00,false,false
5,Grünerløkka,Entire rental unit,Entire home/apt,4,1,1,2,113,4.83,4.92,4.86,4.92,4.96,4.89,4.74,10.75873,59.91488,1400.00,false,false
1,Sentrum,Entire rental unit,Entire home/apt,2,1,1,1,33,4.82,4.79,4.7,4.73,4.94,4.94,4.7,10.7482,59.90965,800.00,false,false
2,Nordstrand,Entire condominium (condo),Entire home/apt,6,2,2,3,30,4.96,4.82,4.61,5,4.89,4.68,4.79,10.77859,59.89976,972.00,false,false
5,Gamle Oslo,Entire rental unit,Entire home/apt,2,2,2,2,35,4.65,4.68,4.85,4.79,4.97,4.74,4.59,10.76207,59.91297,1200.00,false,false
12,Frogner,Private room in rental unit,Private room,2,1,2,1,363,4.76,4.79,4.95,4.85,4.88,4.94,4.73,10.72244,59.90928,1421.00,true,false
2,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,99,4.97,4.96,4.98,4.93,4.94,4.85,4.94,10.77647,59.92025,400.00,false,true
1,Gamle Oslo,Private room in rental unit,Private room,2,1,1,1,95,4.93,4.96,4.96,4.96,4.99,4.81,4.79,10.76938,59.91242,625.00,false,false
