host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,longitude,latitude,price,host_is_superhost,instant_bookable
1,Sentrum,Entire rental unit,Entire home/apt,2,1,1,3,55,4.89,4.94,4.5,4.92,4.91,4.85,4.74,10.7445,59.90909,1200.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,5,1,1,4,5,5,4.75,5,5,5,4.75,5,10.77284,59.93978,1300.00,false,false
2,Nordre Aker,Entire residential home,Entire home/apt,5,4,4,3,8,4.88,5,4.5,5,5,4.75,4.75,10.73847,59.95232,1200.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,7,23,4.7,4.91,4.22,5,4.96,4.96,4.7,10.76604,59.93194,485.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,1,2,3,14,4.75,4.75,4.75,5,5,4.75,4.75,10.76752,59.9271,516.00,false,false
1,Søndre Nordstrand,Entire rental unit,Entire home/apt,2,2,2,2,77,4.84,4.85,4.87,4.82,4.83,4.74,4.92,10.80322,59.83558,580.00,false,false
2,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,5,4.75,5,4.75,5,5,4.75,4.75,10.76087,59.92788,800.00,false,false
0,Nordre Aker,Shared room in rental unit,Shared room,2,1,1,1,33,4.78,4.84,4.42,4.87,4.94,4.74,4.65,10.73037,59.9466,320.00,false,false
1,Frogner,Private room in rental unit,Private room,2,1,1,2,63,4.44,4.6,4.27,4.82,4.87,4.79,4.35,10.72344,59.91187,820.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,2,2,5,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.70994,59.92147,1500.00,false,false
2,Frogner,Entire rental unit,Entire home/apt,3,1,1,3,256,4.92,4.94,4.97,4.91,4.95,4.96,4.83,10.72135,59.90818,1243.00,true,false
1,Gamle Oslo,Private room in rental unit,Private room,2,1,1,2,386,4.91,4.94,4.77,4.96,4.96,4.89,4.88,10.76378,59.91015,500.00,true,false
1,Grünerløkka,Entire loft,Entire home/apt,2,1,1,2,21,5,5,5,4.9,4.95,4.95,4.95,10.76244,59.92043,1250.00,true,false
1,Gamle Oslo,Entire loft,Entire home/apt,2,1,1,4,4,4.75,4.75,4.75,4.75,5,4.25,4.75,10.79216,59.91508,700.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,4,3,3,2,13,4.83,4.83,4.83,4.83,5,4.75,4.83,10.75515,59.93433,1300.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,4,1,3,3,274,4.79,4.84,4.79,4.91,4.92,4.65,4.77,10.76825,59.93347,752.00,false,false
1,Ullern,Entire rental unit,Entire home/apt,2,1,2,7,3,4,5,5,5,3.67,4.67,5,10.67621,59.9256,652.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,2,49,4.96,4.94,5,4.83,5,4.87,4.94,10.76519,59.91624,900.00,false,false
2,Gamle Oslo,Private room in rental unit,Private room,2,1,1,1,64,4.77,4.89,4.73,4.87,4.89,4.87,4.79,10.77435,59.91409,343.00,false,false
1,Nordre Aker,Entire rental unit,Entire home/apt,4,2,2,3,7,4.71,4.86,4.57,4.86,5,4.57,4.71,10.76775,59.95999,750.00,false,false
1,St. Hanshaugen,Entire guesthouse,Entire home/apt,4,1,2,3,142,4.87,4.89,4.86,4.93,4.96,4.94,4.84,10.74879,59.92438,1179.00,true,false
3,Frogner,Private room in condominium (condo),Private room,1,1,1,1,344,4.88,4.92,4.91,4.9,4.91,4.92,4.83,10.72955,59.92164,409.00,true,true
1,Gamle Oslo,Entire rental unit,Entire home/apt,5,2,2,4,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.76871,59.91253,1400.00,false,false
1,Ullern,Entire rental unit,Entire home/apt,4,2,4,2,19,5,4.94,5,4.94,4.75,4.88,4.75,10.69229,59.92538,987.00,false,false
1,St. Hanshaugen,Private room in rental unit,Private room,1,1,1,2,102,4.76,4.88,4.77,4.91,4.95,4.88,4.77,10.74093,59.91786,478.00,true,false
2,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,157,4.98,4.98,4.97,4.94,4.99,4.93,4.9,10.75532,59.92393,724.00,false,false
2,Grünerløkka,Entire rental unit,Entire home/apt,4,2,2,3,49,4.88,4.94,4.86,4.98,4.98,4.92,4.82,10.75713,59.92383,1619.00,false,false
3,St. Hanshaugen,Private room in rental unit,Private room,2,1,1,3,371,4.53,4.7,4.48,4.73,4.74,4.81,4.65,10.75145,59.91731,538.00,false,false
1,Sentrum,Private room in condominium (condo),Private room,2,1,1,2,259,4.86,4.89,4.72,4.92,4.95,4.97,4.86,10.74472,59.91008,480.00,true,true
2,Sagene,Entire condominium (condo),Entire home/apt,2,1,1,5,103,4.83,4.87,4.77,4.94,4.94,4.77,4.77,10.75447,59.92919,406.00,true,false
1,Grünerløkka,Private room in rental unit,Private room,2,1,2,1,30,4.8,4.8,4.7,4.8,4.83,4.83,4.63,10.75721,59.92461,814.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,30,27,4.96,5,5,5,5,4.89,4.89,10.76109,59.90703,1050.00,true,false
2,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,4,68,4.85,4.85,4.7,4.8,4.98,4.88,4.77,10.77162,59.9236,584.00,true,false
